Date,Close,Open,High,Low,Volume,Change
2007-09-21,31422.0,31819.0,32190.0,30952.0,368320.0,0.0070999999999999995
2007-09-24,31398.0,32190.0,32190.0,31200.0,331640.0,-0.0008
2007-09-25,31645.0,31398.0,31695.0,31076.0,623910.0,0.0079
2007-09-26,31447.0,31695.0,31942.0,31348.0,568110.0,-0.0063
2007-09-27,31819.0,31695.0,31819.0,31546.0,627510.0,0.0118
2007-09-28,34790.0,32066.0,34790.0,31695.0,288440.0,0.0934
2007-10-01,37786.0,37786.0,37786.0,37786.0,119020.0,0.0861
2007-10-02,41352.0,41550.0,41550.0,38876.0,1560000.0,0.0944
2007-10-03,42095.0,45314.0,45314.0,40857.0,1160000.0,0.018000000000000002
2007-10-04,43036.0,42095.0,43333.0,42095.0,816730.0,0.022400000000000003
2007-10-05,41599.0,47146.0,47146.0,40114.0,431540.0,-0.0334
2007-10-08,40609.0,41104.0,43580.0,40114.0,478120.0,-0.023799999999999998
2007-10-09,40114.0,40114.0,40386.0,39371.0,734390.0,-0.012199999999999999
2007-10-10,41624.0,39866.0,41896.0,39866.0,681290.0,0.037599999999999995
2007-10-11,41723.0,42095.0,42466.0,41599.0,398690.0,0.0024
2007-10-12,41302.0,42095.0,42095.0,40683.0,301490.0,-0.0101
2007-10-15,41599.0,42095.0,42095.0,40832.0,656090.0,0.0072
2007-10-16,41228.0,41599.0,41847.0,40980.0,1170000.0,-0.0089
2007-10-17,41352.0,42317.0,43333.0,40857.0,735290.0,0.003
2007-10-18,40337.0,41352.0,41352.0,39891.0,441220.0,-0.0245
2007-10-19,41104.0,39866.0,41352.0,39866.0,633360.0,0.019
2007-10-22,40262.0,41228.0,41228.0,40262.0,449540.0,-0.020499999999999997
2007-10-23,39618.0,40609.0,40807.0,39618.0,1040000.0,-0.016
2007-10-24,39618.0,40559.0,40559.0,39123.0,1330000.0,0.0
2007-10-25,39742.0,39866.0,40114.0,39618.0,1320000.0,0.0031
2007-10-26,39866.0,40337.0,43778.0,39495.0,662840.0,0.0031
2007-10-29,37390.0,40411.0,40411.0,37390.0,339740.0,-0.0621
2007-10-30,37885.0,37142.0,38504.0,37142.0,511420.0,0.0132
2007-10-31,36771.0,37935.0,38108.0,36276.0,464390.0,-0.0294
2007-11-01,39371.0,37018.0,39618.0,36424.0,491840.0,0.0707
2007-11-02,38504.0,41104.0,41302.0,38009.0,442120.0,-0.022000000000000002
2007-11-05,37266.0,38133.0,38380.0,36771.0,501740.0,-0.0322
2007-11-06,37142.0,37142.0,37390.0,36523.0,437620.0,-0.0033
2007-11-07,37142.0,37142.0,37885.0,36771.0,338620.0,0.0
2007-11-08,36201.0,37142.0,37142.0,35607.0,379570.0,-0.0253
2007-11-09,35137.0,35904.0,36399.0,34419.0,484640.0,-0.0294
2007-11-12,34295.0,34666.0,35904.0,34171.0,321520.0,-0.024
2007-11-13,32190.0,34394.0,34394.0,31200.0,431770.0,-0.061399999999999996
2007-11-14,35186.0,32239.0,35186.0,32239.0,285290.0,0.0931
2007-11-15,36276.0,38232.0,38232.0,35533.0,827980.0,0.031
2007-11-16,36003.0,37118.0,37118.0,35161.0,447970.0,-0.0075
2007-11-19,34864.0,35607.0,35607.0,34443.0,321740.0,-0.0316
2007-11-20,34220.0,34914.0,34914.0,34171.0,251550.0,-0.018500000000000003
2007-11-21,33750.0,33626.0,34419.0,33180.0,349190.0,-0.0137
2007-11-22,34047.0,33923.0,34666.0,33651.0,419840.0,0.0088
2007-11-23,34121.0,34666.0,34666.0,33948.0,244350.0,0.0022
2007-11-26,34419.0,34171.0,34419.0,34047.0,263920.0,0.0087
2007-11-27,34146.0,34666.0,34914.0,34047.0,301040.0,-0.0079
2007-11-28,34072.0,34369.0,34542.0,33923.0,231970.0,-0.0022
2007-11-29,34121.0,34171.0,34295.0,34047.0,159300.0,0.0014000000000000002
2007-11-30,34047.0,34171.0,34171.0,33676.0,161320.0,-0.0022
2007-12-03,34171.0,33676.0,34369.0,33676.0,135670.0,0.0036
2007-12-04,34171.0,34419.0,34419.0,34047.0,318140.0,0.0
2007-12-05,33676.0,34171.0,34295.0,33552.0,225670.0,-0.014499999999999999
2007-12-06,33205.0,33923.0,33923.0,33180.0,214200.0,-0.013999999999999999
2007-12-07,33379.0,33304.0,33775.0,32685.0,219370.0,0.0052
2007-12-10,32215.0,32933.0,32933.0,31942.0,301040.0,-0.0349
2007-12-11,31620.0,31819.0,32066.0,30704.0,217120.0,-0.018500000000000003
2007-12-12,31695.0,31942.0,32438.0,30729.0,207000.0,0.0024
2007-12-13,31323.0,31794.0,31843.0,30977.0,154800.0,-0.011699999999999999
2007-12-14,30977.0,31200.0,31323.0,30729.0,191470.0,-0.011000000000000001
2007-12-17,29788.0,31200.0,31200.0,29714.0,167170.0,-0.0384
2007-12-18,29961.0,29714.0,29961.0,28971.0,387670.0,0.0058
2007-12-19,31447.0,29714.0,31967.0,29714.0,326690.0,0.0496
2007-12-20,30333.0,31695.0,31695.0,29219.0,89100.0,-0.0354
2007-12-21,30506.0,29714.0,31447.0,29714.0,168520.0,0.005699999999999999
2007-12-24,29714.0,30704.0,30828.0,29714.0,316570.0,-0.026000000000000002
2007-12-25,29466.0,29961.0,30209.0,29219.0,328940.0,-0.0083
2007-12-26,29739.0,29466.0,30457.0,29417.0,211950.0,0.009300000000000001
2007-12-27,29961.0,30209.0,30209.0,29813.0,125320.0,0.0075
2007-12-28,30036.0,30011.0,30209.0,29912.0,136570.0,0.0025
2008-01-02,29466.0,30036.0,30209.0,29466.0,142650.0,-0.019
2008-01-03,29243.0,29466.0,29466.0,29095.0,159520.0,-0.0076
2008-01-04,28476.0,28872.0,29169.0,28352.0,234900.0,-0.0262
2008-01-07,26619.0,28624.0,28624.0,25950.0,393740.0,-0.0652
2008-01-08,26742.0,27114.0,27981.0,26495.0,367190.0,0.0046
2008-01-09,26000.0,27114.0,27238.0,25752.0,195520.0,-0.0277
2008-01-10,25504.0,25752.0,26000.0,24514.0,406790.0,-0.0191
2008-01-11,25009.0,25257.0,26000.0,24910.0,245700.0,-0.0194
2008-01-14,23102.0,25133.0,25257.0,23028.0,294740.0,-0.07629999999999999
2008-01-15,22038.0,23276.0,23276.0,21394.0,546060.0,-0.0461
2008-01-16,23746.0,22186.0,23746.0,22186.0,404990.0,0.0775
2008-01-17,23647.0,25257.0,25925.0,22285.0,650910.0,-0.0042
2008-01-18,24167.0,23523.0,25257.0,23028.0,387670.0,0.022000000000000002
2008-01-21,23375.0,23771.0,23895.0,23028.0,326020.0,-0.032799999999999996
2008-01-22,22954.0,23028.0,24266.0,22063.0,439870.0,-0.018000000000000002
2008-01-23,21914.0,23028.0,23276.0,21295.0,475870.0,-0.0453
2008-01-24,21790.0,22285.0,22979.0,21592.0,365170.0,-0.005699999999999999
2008-01-25,21988.0,21790.0,22261.0,21543.0,398920.0,0.0091
2008-01-28,21691.0,22038.0,22038.0,21543.0,310040.0,-0.013500000000000002
2008-01-29,22038.0,21543.0,22756.0,21419.0,455620.0,0.016
2008-01-30,24266.0,22781.0,24266.0,22409.0,880860.0,0.1011
2008-01-31,23969.0,25009.0,25356.0,22657.0,676340.0,-0.012199999999999999
2008-02-01,24242.0,24514.0,24514.0,23870.0,648210.0,0.011399999999999999
2008-02-12,23548.0,24762.0,24762.0,23276.0,335690.0,-0.0286
2008-02-13,23523.0,23548.0,23548.0,23078.0,359540.0,-0.0011
2008-02-14,23548.0,23276.0,24266.0,23276.0,552140.0,0.0011
2008-02-15,23276.0,23771.0,23771.0,23152.0,261000.0,-0.0116
2008-02-18,22038.0,22781.0,22781.0,20973.0,950380.0,-0.053200000000000004
2008-02-19,21543.0,21295.0,22013.0,21047.0,731010.0,-0.0225
2008-02-20,20354.0,21790.0,21914.0,20057.0,683990.0,-0.0552
2008-02-21,18819.0,19760.0,19760.0,18819.0,543810.0,-0.0754
2008-02-22,18447.0,18596.0,19066.0,16986.0,989310.0,-0.019799999999999998
2008-02-25,19289.0,18324.0,19289.0,18324.0,809760.0,0.045599999999999995
2008-02-26,17655.0,19042.0,19809.0,17630.0,639440.0,-0.08470000000000001
2008-02-27,17828.0,17605.0,18819.0,17085.0,615590.0,0.0098
2008-02-28,17977.0,18324.0,18571.0,17779.0,765890.0,0.0084
2008-02-29,17482.0,18076.0,18076.0,17358.0,570590.0,-0.0275
2008-03-03,15847.0,17581.0,17828.0,15823.0,967930.0,-0.0935
2008-03-04,14783.0,15996.0,15996.0,14783.0,728540.0,-0.06709999999999999
2008-03-05,13767.0,13866.0,14114.0,13346.0,1300000.0,-0.0687
2008-03-06,14783.0,14114.0,14783.0,14114.0,66150.0,0.0738
2008-03-07,16219.0,16219.0,16219.0,16219.0,97870.0,0.0971
2008-03-10,17333.0,17828.0,17828.0,16120.0,2550000.0,0.0687
2008-03-11,15823.0,16838.0,17259.0,15823.0,1570000.0,-0.08710000000000001
2008-03-12,17215.0,15949.0,17595.0,15949.0,838780.0,0.08800000000000001
2008-03-13,17266.0,17721.0,17823.0,16835.0,666660.0,0.003
2008-03-14,17012.0,16962.0,17215.0,16759.0,708060.0,-0.0147
2008-03-17,15443.0,16202.0,16709.0,15443.0,1320000.0,-0.0922
2008-03-18,14278.0,15190.0,15190.0,14278.0,1770000.0,-0.0754
2008-03-19,14430.0,15190.0,15569.0,13671.0,1270000.0,0.0106
2008-03-20,14481.0,14683.0,14937.0,14202.0,654060.0,0.0034999999999999996
2008-03-21,13924.0,13924.0,14734.0,13721.0,834960.0,-0.0385
2008-03-24,12658.0,14177.0,14177.0,12658.0,1120000.0,-0.0909
2008-03-25,11519.0,12405.0,12405.0,11519.0,984580.0,-0.09
2008-03-26,12076.0,11544.0,12658.0,10861.0,1070000.0,0.0484
2008-03-27,12253.0,12253.0,12253.0,12025.0,47700.0,0.0147
2008-03-28,12481.0,12481.0,12481.0,12481.0,24970.0,0.018600000000000002
2008-03-31,12709.0,12709.0,12709.0,12709.0,38700.0,0.0183
2008-04-01,12962.0,12962.0,12962.0,12962.0,10350.0,0.0199
2008-04-02,13215.0,13215.0,13215.0,13215.0,6070.0,0.0195
2008-04-03,13468.0,13468.0,13468.0,13468.0,2470.0,0.0191
2008-04-04,13721.0,13721.0,13721.0,13721.0,25200.0,0.018799999999999997
2008-04-07,14126.0,14126.0,14126.0,14126.0,6750.0,0.029500000000000002
2008-04-08,14228.0,14531.0,14531.0,13721.0,2009999.9999999998,0.0072
2008-04-09,13696.0,14304.0,14329.0,13696.0,871180.0,-0.0374
2008-04-10,13316.0,13316.0,13316.0,13316.0,96300.0,-0.0277
2008-04-11,12937.0,12937.0,12937.0,12937.0,149850.0,-0.0285
2008-04-16,12557.0,12557.0,12557.0,12557.0,138820.0,-0.0294
2008-04-17,12734.0,12202.0,12911.0,12202.0,1250000.0,0.0141
2008-04-18,12152.0,12835.0,12835.0,12126.0,481040.0,-0.045700000000000005
2008-04-21,11949.0,12126.0,12152.0,11949.0,598040.0,-0.0167
2008-04-22,11595.0,11595.0,11645.0,11595.0,518840.00000000006,-0.0296
2008-04-23,11266.0,11266.0,11266.0,11266.0,146700.0,-0.028399999999999998
2008-04-24,10962.0,10937.0,11418.0,10937.0,1310000.0,-0.027000000000000003
2008-04-25,11013.0,10709.0,11088.0,10709.0,437390.0,0.004699999999999999
2008-04-28,11240.0,10937.0,11240.0,10886.0,509840.0,0.0206
2008-04-29,11139.0,11468.0,11494.0,11013.0,703340.0,-0.009000000000000001
2008-05-05,10886.0,10987.0,11342.0,10886.0,363370.0,-0.0227
2008-05-06,10607.0,10607.0,10633.0,10607.0,854760.0,-0.0256
2008-05-07,10304.0,10304.0,10304.0,10304.0,445940.0,-0.0286
2008-05-08,10000.0,10000.0,10000.0,10000.0,144220.0,-0.029500000000000002
2008-05-09,9721.0,9721.0,9721.0,9721.0,86170.0,-0.0279
2008-05-12,9443.0,9443.0,9443.0,9443.0,9220.0,-0.0286
2008-05-13,9164.0,9164.0,9164.0,9164.0,11250.0,-0.029500000000000002
2008-05-14,8911.0,8911.0,8911.0,8911.0,7200.0,-0.0276
2008-05-15,8658.0,8658.0,8658.0,8658.0,12150.0,-0.028399999999999998
2008-05-16,8405.0,8405.0,8911.0,8405.0,940260.0,-0.0292
2008-05-19,8253.0,8253.0,8557.0,8253.0,141970.0,-0.0181
2008-05-20,8025.0,8025.0,8025.0,8025.0,23400.0,-0.0276
2008-05-21,7797.0,7797.0,7797.0,7797.0,21820.0,-0.028399999999999998
2008-05-22,7570.0,7570.0,7570.0,7570.0,6520.0,-0.0291
2008-05-23,7367.0,7367.0,7367.0,7367.0,17770.0,-0.0268
2008-05-26,7164.0,7164.0,7164.0,7164.0,4950.0,-0.0276
2008-05-27,6962.0,6962.0,6962.0,6962.0,20470.0,-0.0282
2008-05-28,6759.0,6759.0,6759.0,6759.0,98100.0,-0.0292
2008-05-29,6557.0,6557.0,6759.0,6557.0,854980.0,-0.029900000000000003
2008-05-30,6380.0,6380.0,6456.0,6380.0,154800.0,-0.027000000000000003
2008-06-02,6202.0,6202.0,6202.0,6202.0,11020.0,-0.0279
2008-06-03,6025.0,6025.0,6025.0,6025.0,8550.0,-0.0285
2008-06-04,5848.0,5848.0,5848.0,5848.0,11020.0,-0.0294
2008-06-05,5696.0,5696.0,5696.0,5696.0,20920.0,-0.026000000000000002
2008-06-06,5544.0,5544.0,5544.0,5544.0,18220.0,-0.026699999999999998
2008-06-09,5392.0,5392.0,5392.0,5392.0,11920.0,-0.0274
2008-06-10,5240.0,5240.0,5240.0,5240.0,189670.0,-0.0282
2008-06-11,5392.0,5089.0,5392.0,5089.0,1350000.0,0.028999999999999998
2008-06-12,5418.0,5392.0,5418.0,5392.0,200250.0,0.0048
2008-06-13,5570.0,5570.0,5570.0,5570.0,216450.0,0.0281
2008-06-16,5721.0,5721.0,5721.0,5721.0,11700.0,0.0271
2008-06-17,5873.0,5873.0,5873.0,5873.0,237820.0,0.026600000000000002
2008-06-18,5721.0,6025.0,6025.0,5721.0,2560000.0,-0.0259
2008-06-19,5721.0,5721.0,5721.0,5721.0,105300.0,0.0
2008-06-20,5494.0,5494.0,5696.0,5494.0,1080000.0,-0.0397
2008-06-23,5696.0,5291.0,5696.0,5291.0,1090000.0,0.0368
2008-06-24,5823.0,5823.0,5823.0,5823.0,411970.0,0.0223
2008-06-25,6051.0,6051.0,6051.0,6051.0,384290.0,0.0392
2008-06-26,6278.0,6278.0,6278.0,5823.0,2920000.0,0.0375
2008-06-27,6481.0,6481.0,6481.0,6127.0,1020000.0,0.0323
2008-06-30,6633.0,6633.0,6633.0,6633.0,250200.0,0.0235
2008-07-01,6886.0,6886.0,6886.0,6886.0,116550.0,0.0381
2008-07-02,7139.0,7139.0,7139.0,7139.0,57150.0,0.036699999999999997
2008-07-03,7418.0,7418.0,7418.0,7418.0,22720.0,0.0391
2008-07-04,7696.0,7696.0,7696.0,7696.0,90220.0,0.0375
2008-07-07,8000.0,8000.0,8000.0,7392.0,4550000.0,0.0395
